code,name,tags
code,Food Code,id tag legend
name,Food Name,title label
scie,Scientific Name,binomial genus botanical
lang,Local Name,colloquial trivial country farmer popular
grup,Food Group,category class classification grouping type sort kind
tags,Tags,
enerc,Energy,total atp calorie metabolism essential proximate kj kilojoule kilo joule
water,Moisture,total liquid steam vapour proximate
ash,Minerals,total metal oxide mineral inorganic element residue proximate
vit,Vitamins,total vitamin vitamin vitamin
fatce,Fat,total triglyceride lipid blubber essential macronutrient
fibtg,Crude Fiber,dietary fibre roughage bulk indigestible
choavldf,Carbohydrates,total cho saccharide ose glucide hydrate carbon macronutrient proximate
protcnt,Protein,total essential macronutrient proximate
amiac,Amino acids,total amino acid
cartoid,Carotene,total carotene xanthophyll carotenoid tetraterpenoid terpenoid isoprenoid phytochemical orange yellow pigment
orgac,Organic acids,total organic acid
phytac,Phytate,phytate phytic acidip6 ip 6 phytic inositol hexakisphosphate polyphosphate cyclohexane hexayl hexakis dihydrogen phosphate salt saturated cyclic acid
mnrleq,Essential Quantity Minerals,total chemical element
mnrlet,Essential Trace Minerals,total essential chemical element
vitb,Vitamin B,total vitamin b
vitc,Vitamin C,ascorbic acid total ascorbate water soluble essential
fasat,Saturated Fatty acids,tsfa sfa total fat triglyceride lipid
fauns,Unsaturated Fatty acids,tufa ufa good healthy fat lipid
faess,Essential Fatty acids,tefa efa total good healthy fat lipid
facis,Cis Fatty acids,tcfa cfa total good healthy fat lipid
fams,Monounsaturated Fatty acids,tmufa mufa total mono unsaturated fat triglyceride lipid
fapu,Polyunsaturated Fatty acids,tpufa pufa total poly unsaturated fat triglyceride lipid
facn3,Cis ω-3 Fatty acids,total ω3 w3 w 3 omega good healthy fat lipid
facn6,Cis ω-6 Fatty acids,total ω6 w6 w 6 omega good healthy fat lipid
facn9,Cis ω-9 Fatty acids,total ω9 w9 w 9 omega good healthy fat lipid
facn7,Cis ω-7 Fatty acids,total ω7 w7 w 7 omega good healthy fat lipid
fibins,Insoluble Dietary Fiber,total fibre roughage bulk indigestible
fibsol,Soluble Dietary Fiber,total fibre roughage bulk indigestible
amiace,Essential Amino acids,total essential
amiacce,Conditionally essential Amino acids,total
ca,Calcium (Ca),quantity alkaline earth metal mineral chemical element
p,Phophorus (P),quantity nonmetal mineral chemical element
fe,Iron (Fe),trace transition metal mineral chemical element
mg,Magnesium (Mg),quantity alkaline earth metal mineral chemical element
na,Sodium (Na),quantity alkali metal mineral chemical element
k,Potassium (K),quantity alkali metal mineral chemical element
cu,Copper (Cu),trace transition metal mineral chemical element
mn,Manganese (Mn),trace transition metal ineral chemical element
mo,Molybdenum (Mo),trace transition metal mineral chemical element
zn,Zinc (Zn),trace post transition mineral chemical element
cr,Chromium (Cr),trace transition metal mineral chemical element
s,Sulphur (S),trace nonmetal mineral chemical element
cl,Chlorine (Cr),quantity nonmetal mineral chemical element
nt,Nitrogen (N),quantity nonmetal mineral chemical element
carot,Carotenes,total carotene xanthophyll carotenoid tetraterpenoid terpenoid isoprenoid phytochemical orange yellow pigment
cartbeq,β-Carotene equivalents,total beta b carotene carotenoid provitamin previtamin a
cartb,β-Carotene,b beta carotene carotenoid tetraterpenoid terpenoid isoprenoid phytochemical dark red orange pigment crystalline crystal vitamer provitamin vitamin vitamin-a
thia,Thiamine (B1),thiamin aneurine vitamin b1 b 1 water soluble essential
ribf,Riboflavin (B2),vactochrome lactoflavin vitamin b2 b 2 water soluble g essential
nia,Niacin (B3),nicotinic acid nicotinamide bionic vitamin b3 b 3 pp water soluble essential white translucent crystalline crystal
vitb6c,Total B6,pn p5p pl plp pm pmp pa pyridoxine pyridoxal pyridoxamine pyridoxic acid pyritinol vitamer vitamin b6 b 6 water soluble essential
folsum,Folic Acid (B9) (total),total folic folate pteroyl glutamic acid glutamate folic folacin vitamin b9 b 9 bc m water soluble essential folate pteroyl glutamic acid glutamate folic folacin vitamin b9 b 9 bc m water soluble essential
folac,Folic Acid (B9) (free),synthetic folate pteroyl glutamic acid glutamate folic folacin vitamin b9 b 9 bc m water soluble essential
choln,Choline (total),essential nutrient hydroxy trimethylethan aminium viscous deliquescent liquid very soluble
arg,Arginine,r amino acid
his,Histidine,h amino acid
lys,Lysine,k amino acid
trp,Tryptophan,w amino acid
phe,Phenylalanine,f amino acid
tyr,Tyrosine,y amino acid
met,Methionine,m amino acid
cys,Cysteine,c amino acid
thr,Threonine,t amino acid
leu,Leucine,l amino acid
ile,Isoleucine,i amino acid
val,Valine,v amino acid
f16d0,Palmitic acid (C16:0),c160 c 160 16 0 hexadecanoic carboxylic saturated fatty fat triglyceride lipid white crystals
f18d0,Stearic acid (C18:0),c180 c 180 18 0 octadecanoic carboxylic saturated fatty fat triglyceride lipid white solid pungent oily
f20d0,Arachidic acid (C20:0),c200 c 200 20 0 eicosanoic icosanoic arachic carboxylic saturated fatty fat triglyceride lipid white crystalline crystal solid
f22d0,Behenic acid (C22:0),c220 c 220 22 0 docosanoic docosanoate hydrofol carboxylic saturated fatty fat triglyceride lipid white yellow crystalline crystal powder
f24d0,Lignoceric acid (C24:0),c240 c 240 24 0 tetracosanoic carboxylic saturated fatty fat triglyceride lipid
f16d1cn7,Palmitoleic acid (C16:1),c161 c 161 16 1 hexadec enoic palmitoleic hexadecenoic omega 7 monounsaturated mono unsaturated fatty fat triglyceride lipid
f18d1cn9,Oleic acid (C18:1n9),c181n9 c181 c 181 18 1n9 1 n9 n 9 octadec enoic octadecenoic omega 9 monounsaturated mono unsaturated fatty fat triglyceride lipid
f18d2cn6,Linoleic acid (C18:2n6),c182n6 c182 c 182 18 2 n6 n 6 octadeca dienoic octadecadienoic omega 6 polyunsaturated poly unsaturated fatty fat triglyceride lipid colorless oil
f18d3n3,α-Linolenic acid (C18:3n3),c183n3 c183 c 183 18 3 n3 n 3 ala lna a alpha octadecatrienoic octadeca trienoic omega 3 polyunsaturated poly unsaturated fatty fat triglyceride lipid
vitb12,Vitamin B12,cobalamin water soluble cobalt
oxalt,Oxalates,total ox ethanedioate oxalic organic acid
phytacp,Phytate % of P,ip6 ip 6 phytic inositol hexakisphosphate polyphosphate cyclohexane hexayl hexakis dihydrogen phosphate salt saturated cyclic acid
