code,name,fatce,f16d0,f18d0,f20d0,f22d0,f24d0,fasat,f16d1cn7,f18d1cn9,fams,f18d2cn6,f18d3n3,fapu
9-15,RICE,1.7,0.4,0.05,,,,0.45,,0.4,0.4,0.5,0.01,0.51
20-27,WHEAT,2.9,0.4,0.1,,,,0.5,,0.3,0.3,1.1,0.17,1.27
5-6,MAIZE,4.8,0.7,0.2,,,,0.9,,1.1,1.1,2.2,0.05,2.25
4,JOWAR,3.3,0.5,0.07,,,,0.57,,1,1,1.5,0.05,1.55
8,RAGI,1.5,0.3,0.02,,,,0.32,,0.7,0.7,0.3,0.05,0.35
1,BAJRA,5.5,1,0.24,,,,1.24,,1.2,1.2,2.2,0.13,2.33
31,BLACK GRAM,1.7,0.2,0.05,,,,0.3,,0.2,0.2,0.1,0.7,0.8
43,RAJMAH,2.2,0.3,0.04,,0.03,,0.4,,0.2,0.2,0.5,0.7,1.2
32,COW PEA,2.9,0.6,0.1,,0.08,,0.8,,0.2,0.2,0.8,0.5,1.3
34-35,GREEN GRAM,1.7,0.4,0.05,,,,0.45,,0.05,0.05,0.6,0.2,0.8
44-45,RED GRAM,2.2,0.4,0.08,,,,0.48,,0.1,0.1,1,0.1,1.1
38,LENTIL,2,0.2,0.04,,0.04,,0.3,,0.4,0.4,0.8,0.16,0.96
28-30,BENGAL GRAM,6.9,0.5,0.07,,,,0.57,,1.2,1.2,3.5,0.2,3.7
40-42,PEA,2.1,0.2,0.06,,,,0.26,,0.4,0.4,0.8,0.15,0.95
46,SOYA BEAN,20,1.4,0.8,,,,2.2,,5.4,5.4,10.4,1.4,11.8
16,BEANS (fresh),0.2,0.04,0.007,,,,0.047,,0.009,0.009,0.07,0.04,0.11
17,GREEN LEAFY VEGETABLES,0.4,0.05,0.01,,0.027,,0.09,,0.025,0.025,0.04,0.15,0.19
125,POTATO,0.6,0.15,0.002,,,,0.152,,0.15,0.15,0.08,0.06,0.14
217,"CHILLI, Dry",17,2.2,0.34,,,,2.54,,1.8,1.9,9.1,0.26,9.36
222,CUMIN SEED,9,0.3,0.08,,,,0.38,,4.7,4.7,2.1,0.48,2.58
221,CORIANDER SEED,20,0.6,0.1,,,,0.7,,12.5,12.5,3,0.02,3.02
223,FENUGREEK SEED,10,0.9,0.3,,,,1.2,,1.5,1.5,3.4,1.9,5.3
194-199,COCONUT,40,8,4,,,,36,,3.2,3.2,0.6,0.6,
202-203,GROUNDNUT,40,3.5,1.7,,,,8.8,,21,21,10,0.2,10.2
201,GINGELLY,40,4,1.6,,,,6,,18,18,16,0.4,16.4
206,MUSTARD,40,0.4,0.2,,,,2,,5,27,5,3.5,8.5
