1,BAJRA,21,141,48
2,BARLEY,2,101,47
3,ITALIAN MILLET,0,198,68
4,JOWAR,10,172,77
5,"MAIZE, dry",6,306,85
6,"MAIZE, tender",9,66,55
7,PANIVARAGU,0,83,40
8,RAGI,0,209,74
10,"RICE, parboiled, milled",1,83,58
12,"RICE, raw, milled",3,83,52
14,"RICE, flakes",0,151,63
15,"RICE, puffed",0,47,31
16,"SAMAI, (whole)",0,57,26
18,"VARAGU, (whole)",0,135,72
19,"WHEAT, bulgar",7,198,67
20,"WHEAT, whole",8,238,80
22,"WHEAT, flour (refined)",0,38,81
25,"WHEAT, vermicelli",0,19,21
28,"BENGAL GRAM, (whole)",2,158,51
29,"BENGAL GRAM, dhal",5,133,40
30,"BENGAL GRAM, roasted, dehusked",3,159,47
31,"BLACK GRAM, (whole)",,,
31a,"BLACK GRAM, dhal",16,169,43
32,COW PEA,9,185,45
33,"FIELD BEAN, dry",,248,57
34,"GREEN GRAM, (whole)",3,148,46
35,"GREEN GRAM, dhal",1,209,52
36,HORSE GRAM,417,114,37
37,KHESARIDHAL,122,108,31
38,LENTIL,14,100,34
39,MOTH BEANS,0,25,11
40,PEAS,14,55,40
41,"PEAS, dry",0,135,45
42,"PEAS, roasted",0,136,40
44,"RED GRAM, dhal",9,170,56
44a,"RED GRAM, whole",,,
45,"RED GRAM, tender",16,,
49,"AMARANTH, tender",772,2,3
65,BRUSSELS SPROUTS,4,5,6
66,CABBAGE,3,3,7
69,CELERY LEAVES,37,6,4
70,CELERY STALK,30,1,3
73,COLOCASIA LEAVES (green variety),43,0,0
75,CORIANDER LEAVES,47,0,0
77,CURRY LEAVES,132,35,61
78,DRUMSTICK LEAVES,101,44,63
79,FENUGREEK LEAVES,13,0,0
84,GOGU,148,,
94,MINT,33,4,6
99,PARSLEY,,16,9
100,PARUPPU KEERAI,1679,4,9
108,SAFFLOWER LEAVES,3,,
110,SPINACH,658,0,0
111,SPINACH STALK,1,,
113,"TAMARIND LEAVES, tender",196,0,0
117,BEET ROOT,40,0,0
118,CARROT,5,,
122,"ONION, big",1,,
123,"ONION, small",1,,
124,PARSNIP,20,4,10
125,POTATO,20,14,35
126,"RADISH, pink",20,13,65
129,"RADISH, white",9,0,0
130,SWEET POTATO,,,
131,TAPIOCA,17,,
132,"TAPIOCA CHIPS, dried",31,17,24
134,"YAM, (elephant)",,4,12
136,"YAM, (wild)",15,7,9
139,BITTER GOURD,0,4,6
140,"BITTER GOURD, small variety",0,26,19
142,BRINJAL,18,3,6
143,BROAD BEANS,1,,
144,CAULIFLOWER,19,10,18
146,CLUSTER BEANS,,3,6
149,CUCUMBER,15,0,0
150,DOUBLE BEANS,,8,5
151,DRUMSTICK,101,44,40
153,"FILED BEANS, tender",1,,
155,FRENCH BEANS,33,0,0
159,JACK FRUIT seeds,4,40,42
165,KNOL-KHOL,10,0,0
166,LADIES FINGERS,8,0,0
169,"LOTUS STEM, dry",422,0,0
110,"MANGO, green",6,5,26
171,ONION STALKS,14,19,38
173,PARWAR,7,8,20
174,PINK BEANS,,38,54
175,PLANTAIN FLOWER,420,,
176,PLANTAIN GREEN,480,11,37
180,RIDGE GOURD,27,11,28
181,SNAKE GOURD,34,0,0
184,"TINDA, tender",2,,
185,"TOMATO, green",2,0,0
186,VEGETABLE MARROW,56,,
189,ALMOND,407,,
192,CASHEWNUT,318,,
199,COCONUT MEAL DEOILED,,285,44
200,GARDEN CRESS SEEDS,149,442,61
201,GINGELLY SEEDS,"1,700",,
209,PIYAL SEEDS,2,158,30
210,SAFFLOWER CAKE (defatted),,,
214,ARISITHIPPILI,,56,17
217,"CHILLIES, dry",,71,19
218,"CHILLIES, green",67,7,9
221,CORIANDER,,320,81
222,CUMIN SEEDS,,153,30
223,FENUGREEK SEEDS,,151,41
231,OMUM,,296,67
232,"PEPPER, dry",,115,58
237,TURMERIC,,97,34
239,AMLA,296,,
240,APPLE,10,0,0
245,BANANA RIPE,,4,10
250,CAPE GOOSEBERRY,1,18,27
261,"GUAVA, country",14,15,54
261,JACK FRUIT,27,17,41
266,JAMBU FRUIT,89,2,13
271,LICHI,19,,
278,MANGO RIPE,26,,
280,"MELON, musk",2,,
281,"MELON, water",11,,
283,ORANGE,10,1,5
287,"PAPAYA, ripe",1,4,31
290,PEACHES,1,1,2
291,PEARS,4,1,10
293,PHALSA,200,13,33
294,PINEAPPLE,5,2,22
295,PLUM,1,0,0
296,POMEGRANATE,14,11,28
304,SEETHAPHAL,30,,
306,TOMATO ripe,4,,
307,TOMATILLO,0,7,18
308,TREE TOMATO,1,6,13
377,ROHU,5,18,10
397,BEEF MEAL,,90,28
398,BEEF MUSCLE,25,,
410,MUTTON,7,,
420,"MILK, cow's",2,,
454,BANTI (whole),,,
455,BUCK WHEAT,,322,91
464,RAJKEERA SEEDS,29,,
469,"BAMBOO, tender shoots",2,,
545,JUNGLI BADAM,0,197,48
582,THAVITTUPAZHAM,42,11,73
584,VIKKIPAZHAM,272,,
