code,name,fibtg,fibins,fibsol
1,BAJRA,11.3,9.1,2.2
4,JOWAR,9.7,8,1.7
5,"MAIZE, dry",11.9,11,0.9
8,RAGI,11.5,9.9,1.6
12,RICE,4.1,3.2,0.9
20,WHEAT,12.5,9.6,2.9
28,"BENGAL GRAM, whole",28.3,25.2,3.1
29,"BENGAL GRAM, dhal",15.3,12.7,2.6
31,"BLACK GRAM, dhal",11.7,7.6,4.1
31a,"BLACK GRAM, whole",20.3,15.4,4.9
34,"GREEN GRAM, whole",16.7,14.7,2
35,"GREEN GRAM, dhal",8.2,6.5,1.7
38,"LENTIL, whole",15.8,13.5,2.3
38a,"LENTIL, dhal",10.3,8.3,2
44,"RED GRAM, dhal",9.1,6.8,2.3
45,"RED GRAM, whole",22.6,19.8,2.8
47,AGATHI,8.4,6.3,2.1
49,AMARANTH,4,3.1,0.9
58,AMBAT CHUKKA,3.2,2.4,0.8
66,CABBAGE,2.8,2,0.8
73,"COLOCASIA, green",6.6,5.1,1.5
75,CORIANDER,4.3,3,1.3
77,CURRY LEAVES,16.3,13.4,2.9
78,DRUMSTICK,9,6.8,2.2
79,FENUGREEK,4.7,3.2,1.5
84,GOGU,3.8,2.6,1.2
93,MAYALU,2.5,1.6,0.9
94,MINT,6.3,5,1.3
100,PARUPPU KEERAI,2.9,3.9,1
101,PONNAGANNI,7.9,6.9,1
110,SPINACH,2.5,1.8,0.7
113,"TAMARIND LEAVES, tender",10.6,9.4,1.2
117,BEETROOT,3.5,2.6,0.9
118,CARROT,4.4,3,1.4
125,POTATO,1.7,1.1,0.6
128,RADISH,2.3,1.8,0.5
130,SWEET POTATO,3.9,2.6,1.3
135,YAM,4.2,3.2,1
147,COLOCASIA,3,2.3,0.7
7,BANANAPITH,2.2,2,0.2
139,BITTER GOURD,4.3,3.2,1.1
141,BOTTLEGOURD,2,1.7,0.3
142,BRINJAL,6.3,4.6,1.7
143,BROAD BEAN,8.9,6.7,2.1
144,CAULIFLOWER,3.7,2.6,1.1
145,CHOCHOMARROW,1.3,0.9,0.4
146,CLUSTER BEAN,5.7,4.2,1.5
149,CUCUMBER,2.6,2,0.6
149a,"KEERA, green",1.1,0.8,0.3
151,DRUMSTICK,5.8,4.8,1
157,GIANT CHILLIES,2.2,2,0.2
164,KOVAI,2.5,1.5,1
166,LADIES FINGER,3.6,2.6,1
170,"MANGO, raw",3,1.4,1.6
171,ONION STALKS,5.1,3.7,1.4
40,"PEAS, green",8.6,7.2,1.4
176,"PLANTAIN, green",3.5,2.6,0.9
180,RIDGE GOURD,1.9,1.4,0.5
181,SNAKE GOURD,2.1,1.6,0.5
306,TOMATO,1.7,1.2,0.5
46,SOYA BEAN,23,17.9,5.1
195,COCONUT fresh,13.6,12.7,0.9
201,GINGELLY SEEDS,16.8,13.6,3.2
202,GROUNDNUT,11,8.5,2.5
206,MUSTARD,13.6,10.2,3.4
214,ANISEED,43.4,34.3,9.1
214b,CARAWAY SEEDS,38.8,33.1,5.7
214c,CINNAMOM,48.5,44.6,3.9
122,ONION,2.5,1.7,0.8
216,CARDAMOM,23,20.4,2.6
219,CLOVES,35.1,28.9,6.2
221,CORIANDER,47.4,42.5,4.9
222,CUMIN SEEDS,30,25.2,4.8
223,FENUGREEK,48.6,28.6,20
224,GARLIC,5.1,2.6,2.5
225,GINGER,6,4.7,1.3
231,OMUM,47.2,43.9,3.3
232,PEPPER DRY,35.3,32.4,2.9
235,POPPY SEEDS,33.6,22.4,11.2
237,TURMERIC,20,17.6,2.4
207,PAPAYA,2.6,1.3,1.3
213,ZIZYPHUS,3.8,2.8,1
239,AMLA,7.3,5.8,1.5
240,APPLE,3.2,2.3,0.9
245,BANANA,1.8,1.1,0.7
252,CHERRY,1.5,0.9,0.6
254,"DATES, dry",8.3,6.9,1.4
255,"DATES, fresh",7.7,6.9,0.8
256,FIG,5,2.6,2.4
258,"GRAPES, green",1.2,0.8,0.4
261,GUAVA,8.5,7.1,1.4
264,JACKFRUIT,3.5,2.1,1.4
266,JAMBU,3.5,2.6,0.9
274,SWEETLIME,2.7,1.3,1.4
278,MANGO,2,1,1
280,MUSKMELON,0.8,0.5,0.3
281,WATER MELON,0.6,0.3,0.3
283,ORANGE,1.1,0.6,0.5
290,PEACH,1.6,1.1,0.5
291,PEAR,4.3,4,0.3
294,PINEAPPLE,2.8,2.3,0.5
295,PLUM,2.8,1.7,1.1
296,POMEGRANATE,2.8,2.3,0.5
303,SAPOTA,10.9,9.1,1.8
304,CUSTARD APPLE,5.5,4,1.5
305,STRAWBERRY,2.3,1.6,0.7
