code,name,carot,thia,ribf,nia,vitb6c,folsum,vitc,choln
1,BAJRA,132,0.33,0.25,2.3,,14.7,45.5,0,
2,BARLEY,10,0.47,0.2,5.4,,,,0,
3,ITALIAN MILLET,32,0.59,0.11,3.2,,4.2,15,0,
4,JOWAR,47,0.37,0.13,3.1,0.21,14,20,0,
5,"MAIZE, dry",90,0.42,0.1,1.8,,14,20,0,
6,"MAIZE, tender",32,0.11,0.17,0.6,,,,6,
7,PANIVARAGU,0,0.2,0.18,2.3,,,,0,748
8,RAGI,42,0.42,0.19,1.1,,5.2,18.3,0,
9,"RICE, parboiled, handpounded",9,0.27,0.12,4,,,,0,
10,"RICE, parboiled, milled",,0.21,0.05,3.8,0.24,8.9,11,0,
11,"RICE, raw, handpounded",2,0.21,0.16,3.9,,,,0,77
12,"RICE, raw, milled",0,0.06,0.06,1.9,,4.1,8,0,
13,"RICE, bran",,2.7,0.48,29.8,,,,0,
14,RICE . flakes,0,0.21,0.05,4,,,,0,
15,"RICE , puffed",0,0.21,0.01,4.1,,,,0,
16,SAMAI,0,0.3,0.09,3.2,,2.2,9,0,
17,SAMNA MILLET,0,0.33,0.1,4.2,,,,0,
18,VARAGU,0,0.33,0.09,2,,7.4,23.1,0,
19,"WHEAT, bulgar (parboiled)",,0.74,0.11,4.8,,,,0,206
20,"WHEAT, whole",64,0.45,0.17,5.5,0.57,142,36.6,0,
21,"WHEAT, flour (whole)",29,0.49,0.17,4.3,,12.1,35.8,0,
22,"WHEAT, flour (refined)",25,0.12,0.07,2.4,,,,0,
23,"WHEAT, germ",,1.4,0.54,2.9,,,,0,
24,"WHEAT, semolina",,0.12,0.03,1.6,,,,0,
25,"WHEAT, vermicelli",0,0.19,0.05,1.8,,,,0,
26,"WHEAT, bread (brown)",,0.21,,2.5,,,,,
27,WHEAT bread (white),,0.07,,0.7,,,,,
28,"BENGAL GRAM, whole",189,0.3,0.15,2.9,,34,186,3,194
29,"BENGAL GRAM, dhal",129,0.48,0.18,2.4,,32,147.5,1,
30,"BENGAL GRAM, roasted",113,0.2,,1.3,,22,139,0,
31,"BLACK GRAM, dhal",38,0.42,0.2,2,,24,132,0,206
32,COW PEA,12,0.51,0.2,1.3,,69,133,0,202
33,"FIELD BEAN , dry",0,0.52,0.16,1.8,,,,0,352
34,"GREEN GRAM, whole",94,0.47,0.27,2.1,,,,0,167
35,"GREEN GRAM, dhal",49,0.47,0.21,2.4,,24.5,140,0,
36,"HORSE GRAM, whole",71,0.42,0.2,1.5,,,,1,
37,"KHESARI, dhal",120,0.39,0.17,2.9,,,,0,
38,LENTIL,270,0.45,0.2,2.6,,14.5,36,0,299
39,MOTH BEANS,9,0.45,0.09,1.5,,,,2,
40,PEAR,83,0.25,0.01,0.8,,,,9,20
41,"PEAS, dry",39,0.47,0.19,3.4,,4.6,7.5,0,235
42,"PEAS, roasted",18,0.47,0.21,3.5,,,,0,
44,"REDGRAM, dhal",132,0.45,0.19,2.9,0.54,19,103,0,183
45,"REDGRAM, tender",469,0.32,0.33,3,,,,25,72
46,SOYABEAN,426,0.73,0.39,3.2,,8.65,100,,
47,AGATHI,5400,0.21,0.09,1.2,,,,169,
49,"AMARANTH gangeticus, tender",5520,0.03,0.3,1.2,,41,149,99,31
50,"AMARANTH gangeticus, stem",255,0.01,0.18,0,,,,10,
51,AMARANTH Paniculatus,14190,0.01,0.24,1.1,,,,81,
53,AMARANTH spinosus,3564,0,,,,,,33,
57,AMARANTH viridis,,,,,,,,179,
58,AMBAT CHUKA,3660,0.03,0.06,0.2,,40,125,12,
59,BATHUA LEAVES,1740,0.01,0.14,0.6,,,,35,
60,BEET GREENS,5862,0.26,0.56,3.3,,,,70,
62,BETEL LEAVES,5760,0.07,0.03,0.7,,,,5,
65,BRUSSELS SPROUTS,126,0.05,0.16,0.4,,,,72,
66,CABBAGE,120,0.06,0.09,0.4,,13.3,23,124,120
67,CARROT LEAVES,5700,0.04,0.37,2.1,,,,79,
69,CELERY LEAVES,3990,0,0.11,1.2,,,,62,
70,CELERY STALK,520,0.12,0.05,0.3,,,,6,
71,CHEKKUR MANIS,5706,0.48,0.32,2.6,,,,247,
72,COLOCASIA LEAVES (black variety),12000,0.06,0.45,1.9,,,,63,
73,COLOCASIA LEAVES (green variety),10278,0.22,0.26,1.1,,,,12,
75,CORIANDER LEAVES,6918,0.05,0.06,0.8,,,,135,
76,COW PEA LEAVES,6702,0.05,0.18,0.6,,,,4,
77,CURRY LEAVES,7560,0.08,0.21,2.3,,23.5,93.9,4,
78,DRUMSTICK LEAVES,6780,0.06,0.05,0.8,,,,220,
79,FENUGREEK LEAVES,2340,0.04,0.31,0.8,,,,52,
80,FETID CASSIA (fresh),10152,0.08,0.19,0.8,,,,82,
82,GARDEN CRESS,,0.15,,,,,,,
84,GOGU,2898,0.07,0.39,1.1,,,,20,
86,IPOMOEA LEAVES,1980,0.05,0.13,0.6,,,,37,
87,KNOL-KHOL GREENS,4146,0:25,,3,,,,157,
88,KUPPAMENI,,,,,,,,147,
89,LETTUCE,990,0.09,0.13,0.5,,,,10,178
92,MANTHAKALI LEAVES,,,0.59,0.9,,,,11,
93,MAYALU,7440,0.03,0.16,0.5,,,,87,
94,MINT,1620,0.05,0.26,1,,9.7,114,27,
96,MUKARRATE KEERAI,,,,,,,,27,
97,MUSTARD LEAVES,2622,0.03,,,,,,33,
98,NERRINGI,,,,,,,,41,
99,PARSLEY,1920,0.04,0.18,0.5,,,,281,
100,PARUPPU KEERAI,2292,0.1,0.22,0.7,,,,29,
101,PONNANGANNI,1926,0,0.14,1.2,,,,17,
103,RADISH LEAVES,5295,0.18,0.47,0.8,,,,81,
104,RADISH LEAVES table,5742,0.18,0.35,5.5,,,,106,
106,RAPE PLANT LEAVES,1380,0.01,0.03,0.9,,,,65,
108,SAFFLOWER LEAVES,3540,0.04,0.1,0,,,,15,
109,SHEPU,7182,0.03,0.13,0.2,,,,,25
110,SPINACH,5580,0.03,0.26,0.5,,51,123,28,
113,"TAMARIND LEAVES, tender",250,0.24,0.17,4.1,,,,3,
114,TURNIP GREENS,9396,0.31,0.57,5.4,,,,180,
116,BANANA RHIZOME,16,0,0.03,0.2,,,,1,
117,BEETROOT,0,0.04,0.09,0.4,,,,10,242
118,CARROT,1890,0.04,0.02,0.6,,5,15,3,168
119,COLOCASIA,24,0.09,0.03,0.4,,16,54,0,
121,MANGO GINGER,20,0.01,0.03,0,,,,1,
122,"ONION, big",0,0.08,0.01,0.4,,1.5,6,11,
123,"ONION, small",15,0.08,0.02,0.5,,,,2,
124,PARSNIP,18,0.06,,0.4,,,,16,
125,POTATO,24,0.1,0.01,1.2,,3,7,17,100
126,"RADISH, pink",3,0.06,0.02,0.4,,,,17,
128,"RADISH, table",4,0.02,0.03,1.4,,,,21,
129,"RADISH, white",3,0.06,0.02,0.5,,,,15,63
130,SWEET POTATO,6,0.08,0.04,0.7,,,,24,
131,TAPIOCA,,0.05,0.1,0.3,,,,25,
132,TAPIOCA chips dried,0,0.23,0.1,1.4,,,,0,
133,TURNIP,0,0.04,0.04,0.5,,,,43,137
134,"YAM, elephant",260,0.06,0.07,0.7,,,,0,
135,"YAM, ordinary",78,0.07,,0.7,,0.9,17.5,,
136,"YAM, wild",565,0.19,0.47,1.2,,,,1,
137,ASH GOURD,0,0.06,0.01,0.4,,,,1,
138,"BEANS, scarlet runner",34,0.34,0.19,0,,,,27,
139,BITTER GOURD,126,0.07,0.09,0.5,,,,88,
140,BITTER GOURD small,126,0.07,0.06,0.4,,,,96,
141,BOTTLE GOURD,0,0.03,0.01,0.2,,,,0,
142,BRINJAL,74,0.04,0.11,0.9,,5.0,34.0,12,52
143,BROAD BEANS,9,0.08,,0.8,,,,12,5
144,CAULIFLOWER,30,0.04,0.10,1.0,,,,56,127
145,CHO-CHO-MARROW,0,0,0.04,0.4,,,,4,
146,CLUSTER BEANS,198,0.09,0.03,0.6,,50.0,144.0,49,
147,COLOCASIA STEM,104,0.07,0.07,0.1,,,,3,
148,COWPEAPODS,564,0.07,0.09,0.9,,,,14,
149,CUCUMBER,0,0.03,0,0.2,,12.6,14.7,7,
150,DOUBLE BEANS,,,,,,,,22,
151,DRUMSTICK,110,0.05,0.07,0.2,,,,120,
153,"FIELD BEANS, tender",187,0.10,0.06,0.7,,,,9,4
155,FRENCH BEANS,132,0.08,0.06,0.3,,15.5,45.5,24,
156,GHOSALA,120,0.02,0.06,0.4,,,,0,
157,GIANT CHILLIES (capsicum),427,0.55,0.05,0.1,,,,137,
158,"JACK FRUIT, tender",0,0.05,0.04,0.2,,,,14,
159,"JACK FRUIT, seed",,,,,,,,,52
160,KANKODA,1620,0.05,0.18,0.6,,,,,
164,KOVAI,156,0.07,0.08,0.7,,18.0,59.0,15,
165,KNOL-KHOL,21,0.05,0.09,0.5,,,,85,
166,LADIES FINGERS,52,0.07,0.10,0.6,,25.3,105.1,13,
168,LEEKS,18,0.23,,,,,,11,
169,"LOTUS STEM, dry",0,0.82,1.21,1.9,,,,3,
170,"MANGO, green",90,0.04,0.01,0.2,,,,3,
